bytes,class,fault_diameter_in,fault_location,file_id,filename,label_text,load_hp,local_path,protocol,rpm,source_url,status
2931672,OR,0.014,outer_race_6,198,198.mat,OR014@6_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/198.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/198.mat,downloaded
2938632,OR,0.021,outer_race_12,259,259.mat,OR021@12_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/259.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/259.mat,downloaded
2928192,OR,0.021,outer_race_6,235,235.mat,OR021@6_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/235.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/235.mat,downloaded
2928192,OR,0.021,outer_race_3,247,247.mat,OR021@3_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/247.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/247.mat,downloaded
7742720,healthy,none,none,98,98.mat,Normal_1,1,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/98.mat,cwru_de12k_full,1772,https://engineering.case.edu/sites/default/files/98.mat,downloaded
2917752,B,0.007,ball,120,120.mat,B007_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/120.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/120.mat,downloaded
2928192,B,0.014,ball,187,187.mat,B014_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/187.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/187.mat,downloaded
2931672,B,0.021,ball,224,224.mat,B021_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/224.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/224.mat,downloaded
968072,B,0.028,ball,3007,3007.mat,B028_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/3007.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/3007.mat,downloaded
2931672,IR,0.007,inner_race,107,107.mat,IR007_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/107.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/107.mat,downloaded
2924712,IR,0.014,inner_race,171,171.mat,IR014_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/171.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/171.mat,downloaded
971008,IR,0.028,inner_race,3003,3003.mat,IR028_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/3003.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/3003.mat,downloaded
2924712,IR,0.021,inner_race,211,211.mat,IR021_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/211.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/211.mat,downloaded
2935152,OR,0.007,outer_race_12,159,159.mat,OR007@12_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/159.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/159.mat,downloaded
2917752,OR,0.007,outer_race_3,146,146.mat,OR007@3_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/146.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/146.mat,downloaded
2914248,OR,0.007,outer_race_6,132,132.mat,OR007@6_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/132.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/132.mat,downloaded
2924712,OR,0.014,outer_race_6,199,199.mat,OR014@6_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/199.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/199.mat,downloaded
2945592,OR,0.021,outer_race_12,260,260.mat,OR021@12_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/260.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/260.mat,downloaded
2935152,OR,0.021,outer_race_3,248,248.mat,OR021@3_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/248.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/248.mat,downloaded
2935152,OR,0.021,outer_race_6,236,236.mat,OR021@6_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/236.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/236.mat,downloaded
15503928,healthy,none,none,99,99.mat,Normal_2,2,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/99.mat,cwru_de12k_full,1750,https://engineering.case.edu/sites/default/files/99.mat,downloaded
2917752,B,0.007,ball,121,121.mat,B007_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/121.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/121.mat,downloaded
2931672,B,0.014,ball,188,188.mat,B014_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/188.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/188.mat,downloaded
2931672,B,0.021,ball,225,225.mat,B021_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/225.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/225.mat,downloaded
968072,B,0.028,ball,3008,3008.mat,B028_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/3008.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/3008.mat,downloaded
2950416,IR,0.007,inner_race,108,108.mat,IR007_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/108.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/108.mat,downloaded
2921232,IR,0.014,inner_race,172,172.mat,IR014_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/172.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/172.mat,downloaded
2928192,IR,0.021,inner_race,212,212.mat,IR021_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/212.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/212.mat,downloaded
972480,IR,0.028,inner_race,3004,3004.mat,IR028_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/3004.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/3004.mat,downloaded
2931672,OR,0.007,outer_race_12,160,160.mat,OR007@12_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/160.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/160.mat,downloaded
2935152,OR,0.007,outer_race_3,147,147.mat,OR007@3_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/147.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/147.mat,downloaded
2928192,OR,0.014,outer_race_6,200,200.mat,OR014@6_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/200.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/200.mat,downloaded
2942112,OR,0.007,outer_race_6,133,133.mat,OR007@6_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/133.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/133.mat,downloaded
2921232,OR,0.021,outer_race_12,261,261.mat,OR021@12_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/261.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/261.mat,downloaded
2931672,OR,0.021,outer_race_3,249,249.mat,OR021@3_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/249.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/249.mat,downloaded
7770624,healthy,none,none,100,100.mat,Normal_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/100.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/100.mat,downloaded
2928192,OR,0.021,outer_race_6,237,237.mat,OR021@6_3,3,/Users/jianyang/Desktop/学校相关课程/回所/论文/合成数据sci/breeze_full-2/data/cwru/raw/de12k_full/237.mat,cwru_de12k_full,1730,https://engineering.case.edu/sites/default/files/237.mat,downloaded
