protocol,file_id,filename,label_text,class,fault_diameter_in,load_hp,rpm,fault_location,source_url
cwru_de12k_full,224,224.mat,B021_2,B,0.021,2,1750,ball,https://engineering.case.edu/sites/default/files/224.mat
cwru_de12k_full,3007,3007.mat,B028_2,B,0.028,2,1750,ball,https://engineering.case.edu/sites/default/files/3007.mat
cwru_de12k_full,107,107.mat,IR007_2,IR,0.007,2,1750,inner_race,https://engineering.case.edu/sites/default/files/107.mat
cwru_de12k_full,171,171.mat,IR014_2,IR,0.014,2,1750,inner_race,https://engineering.case.edu/sites/default/files/171.mat
cwru_de12k_full,211,211.mat,IR021_2,IR,0.021,2,1750,inner_race,https://engineering.case.edu/sites/default/files/211.mat
cwru_de12k_full,3003,3003.mat,IR028_2,IR,0.028,2,1750,inner_race,https://engineering.case.edu/sites/default/files/3003.mat
cwru_de12k_full,159,159.mat,OR007@12_2,OR,0.007,2,1750,outer_race_12,https://engineering.case.edu/sites/default/files/159.mat
cwru_de12k_full,146,146.mat,OR007@3_2,OR,0.007,2,1750,outer_race_3,https://engineering.case.edu/sites/default/files/146.mat
cwru_de12k_full,132,132.mat,OR007@6_2,OR,0.007,2,1750,outer_race_6,https://engineering.case.edu/sites/default/files/132.mat
cwru_de12k_full,199,199.mat,OR014@6_2,OR,0.014,2,1750,outer_race_6,https://engineering.case.edu/sites/default/files/199.mat
cwru_de12k_full,260,260.mat,OR021@12_2,OR,0.021,2,1750,outer_race_12,https://engineering.case.edu/sites/default/files/260.mat
cwru_de12k_full,248,248.mat,OR021@3_2,OR,0.021,2,1750,outer_race_3,https://engineering.case.edu/sites/default/files/248.mat
cwru_de12k_full,236,236.mat,OR021@6_2,OR,0.021,2,1750,outer_race_6,https://engineering.case.edu/sites/default/files/236.mat
cwru_de12k_full,99,99.mat,Normal_2,healthy,none,2,1750,none,https://engineering.case.edu/sites/default/files/99.mat
cwru_de12k_full,121,121.mat,B007_3,B,0.007,3,1730,ball,https://engineering.case.edu/sites/default/files/121.mat
cwru_de12k_full,188,188.mat,B014_3,B,0.014,3,1730,ball,https://engineering.case.edu/sites/default/files/188.mat
cwru_de12k_full,225,225.mat,B021_3,B,0.021,3,1730,ball,https://engineering.case.edu/sites/default/files/225.mat
cwru_de12k_full,3008,3008.mat,B028_3,B,0.028,3,1730,ball,https://engineering.case.edu/sites/default/files/3008.mat
cwru_de12k_full,108,108.mat,IR007_3,IR,0.007,3,1730,inner_race,https://engineering.case.edu/sites/default/files/108.mat
cwru_de12k_full,172,172.mat,IR014_3,IR,0.014,3,1730,inner_race,https://engineering.case.edu/sites/default/files/172.mat
cwru_de12k_full,212,212.mat,IR021_3,IR,0.021,3,1730,inner_race,https://engineering.case.edu/sites/default/files/212.mat
cwru_de12k_full,3004,3004.mat,IR028_3,IR,0.028,3,1730,inner_race,https://engineering.case.edu/sites/default/files/3004.mat
cwru_de12k_full,160,160.mat,OR007@12_3,OR,0.007,3,1730,outer_race_12,https://engineering.case.edu/sites/default/files/160.mat
cwru_de12k_full,147,147.mat,OR007@3_3,OR,0.007,3,1730,outer_race_3,https://engineering.case.edu/sites/default/files/147.mat
cwru_de12k_full,133,133.mat,OR007@6_3,OR,0.007,3,1730,outer_race_6,https://engineering.case.edu/sites/default/files/133.mat
cwru_de12k_full,200,200.mat,OR014@6_3,OR,0.014,3,1730,outer_race_6,https://engineering.case.edu/sites/default/files/200.mat
cwru_de12k_full,261,261.mat,OR021@12_3,OR,0.021,3,1730,outer_race_12,https://engineering.case.edu/sites/default/files/261.mat
cwru_de12k_full,249,249.mat,OR021@3_3,OR,0.021,3,1730,outer_race_3,https://engineering.case.edu/sites/default/files/249.mat
cwru_de12k_full,237,237.mat,OR021@6_3,OR,0.021,3,1730,outer_race_6,https://engineering.case.edu/sites/default/files/237.mat
cwru_de12k_full,100,100.mat,Normal_3,healthy,none,3,1730,none,https://engineering.case.edu/sites/default/files/100.mat
