VB,active_rows,case,clamp_pressure,dataset,experiment,feedrate,label,run,samples,split,windows
0.09,,11,,Berkeley_NASA_milling,,,sharp,6,9000,train,17
0.12,,11,,Berkeley_NASA_milling,,,sharp,8,9000,train,17
0.16,,11,,Berkeley_NASA_milling,,,sharp,9,9000,train,17
0.18,,11,,Berkeley_NASA_milling,,,sharp,10,9000,train,17
0.2,,11,,Berkeley_NASA_milling,,,worn,11,9000,train,17
0.23,,11,,Berkeley_NASA_milling,,,worn,12,9000,train,17
0.26,,11,,Berkeley_NASA_milling,,,worn,13,9000,train,17
0.31,,11,,Berkeley_NASA_milling,,,worn,15,9000,train,17
0.37,,11,,Berkeley_NASA_milling,,,worn,16,9000,train,17
0.42,,11,,Berkeley_NASA_milling,,,worn,18,9000,train,17
0.47,,11,,Berkeley_NASA_milling,,,severe,19,9000,train,17
0.57,,11,,Berkeley_NASA_milling,,,severe,20,9000,train,17
0.65,,11,,Berkeley_NASA_milling,,,severe,21,9000,train,17
0.68,,11,,Berkeley_NASA_milling,,,severe,22,9000,train,17
0.76,,11,,Berkeley_NASA_milling,,,severe,23,9000,train,17
0.05,,12,,Berkeley_NASA_milling,,,sharp,2,9000,train,17
0.08,,12,,Berkeley_NASA_milling,,,sharp,3,9000,train,17
0.12,,12,,Berkeley_NASA_milling,,,sharp,5,9000,train,17
0.17,,12,,Berkeley_NASA_milling,,,sharp,6,9000,train,17
0.2,,12,,Berkeley_NASA_milling,,,worn,7,9000,train,17
0.24,,12,,Berkeley_NASA_milling,,,worn,8,9000,train,17
0.32,,12,,Berkeley_NASA_milling,,,worn,9,9000,train,17
0.4,,12,,Berkeley_NASA_milling,,,worn,11,9000,train,17
0.45,,12,,Berkeley_NASA_milling,,,worn,12,9000,train,17
0.49,,12,,Berkeley_NASA_milling,,,severe,13,9000,train,17
0.58,,12,,Berkeley_NASA_milling,,,severe,14,9000,train,17
0.65,,12,,Berkeley_NASA_milling,,,severe,15,9000,train,17
0.0,,5,,Berkeley_NASA_milling,,,sharp,1,9000,train,17
0.16,,5,,Berkeley_NASA_milling,,,sharp,2,9000,train,17
0.29,,5,,Berkeley_NASA_milling,,,worn,3,9000,train,17
0.44,,5,,Berkeley_NASA_milling,,,worn,4,9000,train,17
0.53,,5,,Berkeley_NASA_milling,,,severe,5,9000,train,17
0.74,,5,,Berkeley_NASA_milling,,,severe,6,9000,train,17
0.0,,6,,Berkeley_NASA_milling,,,sharp,1,9000,train,17
0.0,,7,,Berkeley_NASA_milling,,,sharp,1,9000,train,17
0.09,,7,,Berkeley_NASA_milling,,,sharp,2,9000,train,17
0.13,,7,,Berkeley_NASA_milling,,,sharp,3,9000,train,17
0.22,,7,,Berkeley_NASA_milling,,,worn,4,9000,train,17
0.24,,7,,Berkeley_NASA_milling,,,worn,5,9000,train,17
0.34,,7,,Berkeley_NASA_milling,,,worn,6,9000,train,17
0.46,,7,,Berkeley_NASA_milling,,,severe,7,9000,train,17
0.0,,8,,Berkeley_NASA_milling,,,sharp,1,9000,test,17
0.18,,8,,Berkeley_NASA_milling,,,sharp,2,9000,test,17
0.3,,8,,Berkeley_NASA_milling,,,worn,3,9000,test,17
0.44,,8,,Berkeley_NASA_milling,,,worn,5,9000,test,17
0.62,,8,,Berkeley_NASA_milling,,,severe,6,9000,test,17
0.1,,13,,Berkeley_NASA_milling,,,sharp,3,9000,train,17
0.13,,13,,Berkeley_NASA_milling,,,sharp,4,9000,train,17
0.17,,13,,Berkeley_NASA_milling,,,sharp,5,9000,train,17
0.32,,13,,Berkeley_NASA_milling,,,worn,6,9000,train,17
0.38,,13,,Berkeley_NASA_milling,,,worn,7,9000,train,17
0.49,,13,,Berkeley_NASA_milling,,,severe,8,9000,train,17
0.56,,13,,Berkeley_NASA_milling,,,severe,9,9000,train,17
0.68,,13,,Berkeley_NASA_milling,,,severe,10,9000,train,17
0.83,,13,,Berkeley_NASA_milling,,,severe,11,9000,train,17
0.92,,13,,Berkeley_NASA_milling,,,severe,12,9000,train,17
1.07,,13,,Berkeley_NASA_milling,,,severe,13,9000,train,17
1.3,,13,,Berkeley_NASA_milling,,,severe,14,9000,train,17
1.53,,13,,Berkeley_NASA_milling,,,severe,15,9000,train,17
0.09,,14,,Berkeley_NASA_milling,,,sharp,2,9000,test,17
0.17,,14,,Berkeley_NASA_milling,,,sharp,3,9000,test,17
0.24,,14,,Berkeley_NASA_milling,,,worn,4,9000,test,17
0.35,,14,,Berkeley_NASA_milling,,,worn,6,9000,test,17
0.6,,14,,Berkeley_NASA_milling,,,severe,8,9000,test,17
0.81,,14,,Berkeley_NASA_milling,,,severe,9,9000,test,17
1.14,,14,,Berkeley_NASA_milling,,,severe,10,9000,test,17
0.15,,15,,Berkeley_NASA_milling,,,sharp,2,9000,test,17
0.28,,15,,Berkeley_NASA_milling,,,worn,3,9000,test,17
0.37,,15,,Berkeley_NASA_milling,,,worn,4,9000,test,17
0.48,,15,,Berkeley_NASA_milling,,,severe,5,9000,test,17
0.56,,15,,Berkeley_NASA_milling,,,severe,6,9000,test,17
0.7,,15,,Berkeley_NASA_milling,,,severe,7,9000,test,17
0.24,,16,,Berkeley_NASA_milling,,,worn,3,9000,train,17
0.4,,16,,Berkeley_NASA_milling,,,worn,5,9000,train,17
0.62,,16,,Berkeley_NASA_milling,,,severe,6,9000,train,17
,991,,4.0,UMich_CNC,1,6,unworn,,,test,15
,1069,,4.0,UMich_CNC,2,20,unworn,,,test,16
,1072,,3.0,UMich_CNC,3,6,unworn,,,train,16
,387,,2.5,UMich_CNC,4,6,unworn,,,train,6
,72,,3.0,UMich_CNC,5,20,unworn,,,train,1
,1036,,4.0,UMich_CNC,6,6,worn,,,test,16
,327,,4.0,UMich_CNC,7,20,worn,,,test,5
,412,,4.0,UMich_CNC,8,20,worn,,,test,6
,625,,4.0,UMich_CNC,9,15,worn,,,train,9
,994,,4.0,UMich_CNC,10,12,worn,,,train,15
,1609,,4.0,UMich_CNC,11,3,unworn,,,train,25
,1514,,3.0,UMich_CNC,12,3,unworn,,,train,23
,1566,,4.0,UMich_CNC,13,3,worn,,,train,24
,1843,,3.0,UMich_CNC,14,3,worn,,,train,28
,769,,3.0,UMich_CNC,15,6,worn,,,train,12
,213,,3.0,UMich_CNC,16,20,worn,,,train,3
,1328,,2.5,UMich_CNC,17,3,unworn,,,train,20
,1693,,2.5,UMich_CNC,18,3,worn,,,train,26
