bearing fault diagnosis GAN da | Ping None | Few-Shot Aero-Engine Bearing Fault Diagnosis with Denoising Diffusion Based Data |  | 10.2139/ssrn.5015183
large language model time seri | Jiang None | A large language model-guided machinery fault diagnosis model based on multi-tas |  | 10.2139/ssrn.6293248
large language model time seri | Erfani Jazi 2026 | Large Language Model-Augmented Semantic Digital Twins for Real-Time Fault Diagno | Journal of Computing and Information Sci | 10.1115/1.4071805
large language model time seri | Zhang 2025 | LLM-TSFD: An industrial time series human-in-the-loop fault diagnosis method bas | Expert Systems with Applications | 10.1016/j.eswa.2024.125861
spectral kurtosis kurtogram en | Bechhoefer 2011 | Bearing envelope analysis window selection Using spectral kurtosis techniques | 2011 IEEE Conference on Prognostics and  | 10.1109/icphm.2011.6024338
spectral kurtosis kurtogram en | Singhal 2023 | Rolling Element Bearing Fault Diagnosis Using a Kurtogram and Spectral Kurtosis  | Algorithms for Intelligent Systems | 10.1007/978-981-99-1431-9_50
spectral kurtosis kurtogram en | Li 2013 | Envelope analysis by wavelet-filter based spectral kurtosis for bearing health m | 2013 IEEE International Instrumentation  | 10.1109/i2mtc.2013.6555709
spectral kurtosis kurtogram en | Zhang 2023 | Analysis of Escalator Based on Spectral Kurtosis and Envelope Demodulation Metho | 2023 2nd International Conference on Aut | 10.1109/icarce59252.2024.10492602
spectral kurtosis kurtogram en | CHEN 2018 | Rolling Bearing Fault Diagnosis with Optimal Resonant Frequency Band Demodulatio | Journal of Mechanical Engineering | 10.3901/jme.2018.21.090
spectral kurtosis kurtogram en | Tomar 2022 | Envelope Spectrum Analysis of Noisy Signal with Spectral Kurtosis to Diagnose Be | Lecture Notes in Mechanical Engineering | 10.1007/978-981-16-4083-4_23
motor current signature analys | KHODJA 2026 | Comparative analysis of motor current signature analysis and vibration monitorin | PRZEGLĄD ELEKTROTECHNICZNY | 10.15199/48.2026.3.29
motor current signature analys | Singh 2014 | Motor Current Signature Analysis for Bearing Fault Detection in Mechanical Syste | Procedia Materials Science | 10.1016/j.mspro.2014.07.021
motor current signature analys | Song 2019 | Detection of Bearing Outer Race Fault in Induction Motors using Motor Current Si | 2019 22nd International Conference on El | 10.1109/icems.2019.8922036
motor current signature analys | Ahmed 2023 | Machine Learning Based Bearing Fault Detection of IM Fed by Variable Frequency D | 2023 XIX International Scientific Techni | 10.1109/aced57798.2023.10143459
motor current signature analys | Choi 2017 | Implementation of Motor Current Signature Analysis Fault Diagnosis Based on Digi | Electric Machines | 10.1201/b13008-9
motor current signature analys | Asutkar 2026 | Enhancing Bearing Fault Diagnosis in Three-Phase Induction Motors Using Motor Cu | International Journal of Drug Delivery T | 10.25258/ijddt.16.16s.3
synthetic data quality filteri | mejri None | Application of Machine Learning for the Automation of the Quality Control of Noi |  | 10.20944/preprints202011.0541.v1
synthetic data quality filteri |  None |  |  | 10.1117/12.2682047.6331636087112
synthetic data quality filteri | Sravani 2023 | Enhancing Code-mixed Text Generation Using Synthetic Data Filtering in Neural Ma | Proceedings of the 27th Conference on Co | 10.18653/v1/2023.conll-1.15
synthetic data quality filteri | Wang 2024 | Spam Filtering in the Modern Era: A Review of Machine Learning, Deep Learning, a | Proceedings of the 2nd International Con | 10.5220/0013526000004619
synthetic data quality filteri |  2017 | Collaborative Filtering | Encyclopedia of Machine Learning and Dat | 10.1007/978-1-4899-7687-1_945
synthetic data quality filteri |  2022 | Review for "Synthetic data enable experiments in atomistic machine learning" |  | 10.1039/d2dd00137c/v1/review1
