material,Vc,fz,ap,ae,rounded_VB_level,Repetition,n_experiments,VB_values,experiment_ids
CastIron.GG30,100.0,0.2,1.5,58.4,0.2,2,1,0.202,Insert4Edge1_Vc100.0_fz0.2_ap1.5_VB0.202_Rep2
CastIron.GG30,100.0,0.2,1.5,58.4,0.3,1,1,0.281,Insert6Edge1_Vc100.0_fz0.2_ap1.5_VB0.281_Rep1
CastIron.GG30,100.0,0.2,1.5,58.4,0.3,2,1,0.281,Insert6Edge1_Vc100.0_fz0.2_ap1.5_VB0.281_Rep2
CastIron.GG30,200.0,0.1,1.5,58.4,0.0,1,2,0;0.018,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1;Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1
CastIron.GG30,200.0,0.1,1.5,58.4,0.0,2,1,0,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep2
CastIron.GG30,200.0,0.1,1.5,58.4,0.1,1,1,0.125,Insert2Edge1_Vc200.0_fz0.1_ap1.5_VB0.125_Rep1
CastIron.GG30,200.0,0.1,1.5,58.4,0.1,2,1,0.125,Insert2Edge1_Vc200.0_fz0.1_ap1.5_VB0.125_Rep2
CastIron.GG30,200.0,0.1,1.5,58.4,0.2,1,1,0.211,Insert4Edge1_Vc200.0_fz0.1_ap1.5_VB0.211_Rep1
CastIron.GG30,200.0,0.1,1.5,58.4,0.2,2,1,0.211,Insert4Edge1_Vc200.0_fz0.1_ap1.5_VB0.211_Rep2
CastIron.GG30,200.0,0.1,1.5,58.4,0.3,1,1,0.274,Insert6Edge1_Vc200.0_fz0.1_ap1.5_VB0.274_Rep1
CastIron.GG30,200.0,0.1,1.5,58.4,0.3,2,1,0.274,Insert6Edge1_Vc200.0_fz0.1_ap1.5_VB0.274_Rep2
CastIron.GG30,200.0,0.1,1.5,58.4,0.3,3,1,0.284,Insert6Edge1_Vc200.0_fz0.1_ap1.5_VB0.284_Rep3
CastIron.GG30,200.0,0.2,1.5,58.4,0.0,1,1,0,Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep1
CastIron.GG30,200.0,0.2,1.5,58.4,0.0,2,1,0,Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep2
CastIron.GG30,200.0,0.2,1.5,58.4,0.1,1,1,0.125,Insert2Edge1_Vc200.0_fz0.2_ap1.5_VB0.125_Rep1
CastIron.GG30,200.0,0.2,1.5,58.4,0.1,2,1,0.125,Insert2Edge1_Vc200.0_fz0.2_ap1.5_VB0.125_Rep2
CastIron.GG30,200.0,0.2,1.5,58.4,0.2,1,1,0.242,Insert4Edge1_Vc200.0_fz0.2_ap1.5_VB0.242_Rep1
CastIron.GG30,200.0,0.2,1.5,58.4,0.2,2,1,0.242,Insert4Edge1_Vc200.0_fz0.2_ap1.5_VB0.242_Rep2
CastIron.GG30,200.0,0.2,1.5,58.4,0.3,1,1,0.272,Insert6Edge1_Vc200.0_fz0.2_ap1.5_VB0.272_Rep1
CastIron.GG30,200.0,0.2,1.5,58.4,0.3,2,1,0.272,Insert6Edge1_Vc200.0_fz0.2_ap1.5_VB0.272_Rep2
StainlessSteel.316L,50.0,0.05,1.5,58.4,0.0,1,1,0,Insert9Edge1_Vc50.0_fz0.05_ap1.5_VB0.0_Rep1
StainlessSteel.316L,50.0,0.05,1.5,58.4,0.0,2,1,0,Insert9Edge1_Vc50.0_fz0.05_ap1.5_VB0.0_Rep2
StainlessSteel.316L,50.0,0.05,1.5,58.4,0.1,1,1,0.132,Insert1Edge1_Vc50.0_fz0.05_ap1.5_VB0.132_Rep1
StainlessSteel.316L,50.0,0.05,1.5,58.4,0.1,2,1,0.132,Insert1Edge1_Vc50.0_fz0.05_ap1.5_VB0.132_Rep2
StainlessSteel.316L,50.0,0.05,1.5,58.4,0.2,1,1,0.202,Insert3Edge1_Vc50.0_fz0.05_ap1.5_VB0.202_Rep1
StainlessSteel.316L,50.0,0.05,1.5,58.4,0.2,2,1,0.202,Insert3Edge1_Vc50.0_fz0.05_ap1.5_VB0.202_Rep2
StainlessSteel.316L,50.0,0.05,1.5,58.4,0.2,3,1,0.202,Insert3Edge1_Vc50.0_fz0.05_ap1.5_VB0.202_Rep3
StainlessSteel.316L,50.0,0.05,1.5,58.4,0.3,1,1,0.287,Insert6Edge1_Vc50.0_fz0.05_ap1.5_VB0.287_Rep1
StainlessSteel.316L,50.0,0.05,1.5,58.4,0.3,2,1,0.287,Insert6Edge1_Vc50.0_fz0.05_ap1.5_VB0.287_Rep2
StainlessSteel.316L,50.0,0.1,1.5,58.4,0.0,1,1,0.03,Insert9Edge1_Vc50.0_fz0.1_ap1.5_VB0.03_Rep1
StainlessSteel.316L,50.0,0.1,1.5,58.4,0.0,2,1,0.03,Insert9Edge1_Vc50.0_fz0.1_ap1.5_VB0.03_Rep2
StainlessSteel.316L,50.0,0.1,1.5,58.4,0.1,1,1,0.137,Insert1Edge1_Vc50.0_fz0.1_ap1.5_VB0.137_Rep1
StainlessSteel.316L,50.0,0.1,1.5,58.4,0.1,2,1,0.137,Insert1Edge1_Vc50.0_fz0.1_ap1.5_VB0.137_Rep2
StainlessSteel.316L,50.0,0.1,1.5,58.4,0.2,1,1,0.206,Insert3Edge1_Vc50.0_fz0.1_ap1.5_VB0.206_Rep1
StainlessSteel.316L,50.0,0.1,1.5,58.4,0.2,2,1,0.206,Insert3Edge1_Vc50.0_fz0.1_ap1.5_VB0.206_Rep2
StainlessSteel.316L,50.0,0.1,1.5,58.4,0.3,1,1,0.287,Insert6Edge1_Vc50.0_fz0.1_ap1.5_VB0.287_Rep1
StainlessSteel.316L,50.0,0.1,1.5,58.4,0.3,2,1,0.287,Insert6Edge1_Vc50.0_fz0.1_ap1.5_VB0.287_Rep2
StainlessSteel.316L,100.0,0.05,1.5,58.4,0.0,1,1,0,Insert9Edge2_Vc100.0_fz0.05_ap1.5_VB0.0_Rep1
StainlessSteel.316L,100.0,0.05,1.5,58.4,0.0,2,1,0,Insert9Edge2_Vc100.0_fz0.05_ap1.5_VB0.0_Rep2
StainlessSteel.316L,100.0,0.05,1.5,58.4,0.1,1,1,0.137,Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep1
StainlessSteel.316L,100.0,0.05,1.5,58.4,0.1,2,1,0.137,Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep2
StainlessSteel.316L,100.0,0.05,1.5,58.4,0.2,1,1,0.206,Insert3Edge1_Vc100.0_fz0.05_ap1.5_VB0.206_Rep1
StainlessSteel.316L,100.0,0.05,1.5,58.4,0.2,2,1,0.206,Insert3Edge1_Vc100.0_fz0.05_ap1.5_VB0.206_Rep2
StainlessSteel.316L,100.0,0.05,1.5,58.4,0.3,1,1,0.291,Insert6Edge1_Vc100.0_fz0.05_ap1.5_VB0.291_Rep1
StainlessSteel.316L,100.0,0.05,1.5,58.4,0.3,2,1,0.291,Insert6Edge1_Vc100.0_fz0.05_ap1.5_VB0.291_Rep2
StainlessSteel.316L,100.0,0.1,1.5,58.4,0.0,1,1,0.039,Insert9Edge2_Vc100.0_fz0.1_ap1.5_VB0.039_Rep1
StainlessSteel.316L,100.0,0.1,1.5,58.4,0.0,2,1,0.039,Insert9Edge2_Vc100.0_fz0.1_ap1.5_VB0.039_Rep2
StainlessSteel.316L,100.0,0.1,1.5,58.4,0.1,1,1,0.139,Insert1Edge1_Vc100.0_fz0.1_ap1.5_VB0.139_Rep1
StainlessSteel.316L,100.0,0.1,1.5,58.4,0.1,2,1,0.139,Insert1Edge1_Vc100.0_fz0.1_ap1.5_VB0.139_Rep2
StainlessSteel.316L,100.0,0.1,1.5,58.4,0.2,1,1,0.213,Insert3Edge1_Vc100.0_fz0.1_ap1.5_VB0.213_Rep1
StainlessSteel.316L,100.0,0.1,1.5,58.4,0.2,2,1,0.213,Insert3Edge1_Vc100.0_fz0.1_ap1.5_VB0.213_Rep2
StainlessSteel.316L,100.0,0.1,1.5,58.4,0.3,1,1,0.291,Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.291_Rep1
StainlessSteel.316L,100.0,0.1,1.5,58.4,0.3,2,1,0.291,Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.291_Rep2
