scheme,definition,n_valid,healthy,worn,unlabeled,balance_ratio_min_over_max,supports_experiment_level_split,supports_leave_one_condition_out,condition_groups,condition_groups_with_both_labels,condition_groups_total,insert_edge_groups,supports_groupkfold_by_insert_edge,supports_n_real_2,supports_n_real_5,supports_n_real_10,group_type,group_value
B,per-insert_edge,4,4,0,0,,,,,,,,,,,,insert_edge,Insert9_Edge2
C,healthy VB < 0.15; worn VB >= 0.15,67,33,34,0,0.9705882352941176,True,True,8,8,8,9,True,True,True,True,,
C,per-material,34,17,17,0,,,,,,,,,,,,material,CastIron.GG30
C,per-material,33,16,17,0,,,,,,,,,,,,material,StainlessSteel.316L
C,per-condition,8,4,4,0,,,,,,,,,,,,condition,CastIron.GG30|100.0|0.1|1.5|58.4
C,per-condition,8,4,4,0,,,,,,,,,,,,condition,CastIron.GG30|100.0|0.2|1.5|58.4
C,per-condition,10,5,5,0,,,,,,,,,,,,condition,CastIron.GG30|200.0|0.1|1.5|58.4
C,per-condition,8,4,4,0,,,,,,,,,,,,condition,CastIron.GG30|200.0|0.2|1.5|58.4
C,per-condition,8,4,4,0,,,,,,,,,,,,condition,StainlessSteel.316L|100.0|0.05|1.5|58.4
C,per-condition,8,4,4,0,,,,,,,,,,,,condition,StainlessSteel.316L|100.0|0.1|1.5|58.4
C,per-condition,9,4,5,0,,,,,,,,,,,,condition,StainlessSteel.316L|50.0|0.05|1.5|58.4
C,per-condition,8,4,4,0,,,,,,,,,,,,condition,StainlessSteel.316L|50.0|0.1|1.5|58.4
C,per-repetition,33,17,16,0,,,,,,,,,,,,repetition,1
C,per-repetition,32,16,16,0,,,,,,,,,,,,repetition,2
C,per-repetition,2,0,2,0,,,,,,,,,,,,repetition,3
C,per-insert_edge,3,3,0,0,,,,,,,,,,,,insert_edge,Insert0_Edge2
C,per-insert_edge,6,6,0,0,,,,,,,,,,,,insert_edge,Insert0_Edge3
C,per-insert_edge,8,8,0,0,,,,,,,,,,,,insert_edge,Insert1_Edge1
C,per-insert_edge,8,8,0,0,,,,,,,,,,,,insert_edge,Insert2_Edge1
C,per-insert_edge,9,0,9,0,,,,,,,,,,,,insert_edge,Insert3_Edge1
C,per-insert_edge,8,0,8,0,,,,,,,,,,,,insert_edge,Insert4_Edge1
C,per-insert_edge,17,0,17,0,,,,,,,,,,,,insert_edge,Insert6_Edge1
C,per-insert_edge,4,4,0,0,,,,,,,,,,,,insert_edge,Insert9_Edge1
C,per-insert_edge,4,4,0,0,,,,,,,,,,,,insert_edge,Insert9_Edge2
