accepted,accepted_path,candidate_sha256,class_identity_prediction,class_name,failure_reasons,rounds_attempted,slot,status
True,s_c/accepted/base_imbalance_slot_13.npy,03451ece9ef3b597fbae67dae018dfc18a1fc3cceffdf6b2e815c705ff86ed81,base_imbalance,base_imbalance,,1,13,accepted
True,s_c/accepted/normal_machining_slot_14.npy,ec05d8199472f349cad431dbcd5cf46df8ef8054fce4d6320df89807e6faa107,normal_machining,normal_machining,,1,14,accepted
True,s_c/accepted/lead_screw_anomaly_slot_14.npy,69b5963b688940df215f0d8d5ba1ecc7e997c0bc9b2d50fa4bffece431d9060b,lead_screw_anomaly,lead_screw_anomaly,,1,14,accepted
True,s_c/accepted/base_imbalance_slot_14.npy,a0e79494576c77555f279d0c42752d4c5068f67f54cd04c69ecfb8f89ecaef30,base_imbalance,base_imbalance,,4,14,accepted
True,s_c/accepted/normal_machining_slot_15.npy,fab840c09b4ad9aeecb429f1e9ecf0cc1461e429f049fac49e227eac60bdccc6,normal_machining,normal_machining,,2,15,accepted
True,s_c/accepted/lead_screw_anomaly_slot_15.npy,aac19368b61b044abb5affe4fdfe99e9f79182fe2c81b3ce0cb0541474bd5f8d,lead_screw_anomaly,lead_screw_anomaly,,1,15,accepted
True,s_c/accepted/base_imbalance_slot_15.npy,2356fffada78339026a5b905a203ff9f38a71894c052b3407c629750521473be,base_imbalance,base_imbalance,,1,15,accepted
True,s_c/accepted/normal_machining_slot_16.npy,81c47f4e738cbfb7b29ceb6e61b4d5f98a52aa4dabcf20738f5bb85529d7af37,normal_machining,normal_machining,,1,16,accepted
True,s_c/accepted/lead_screw_anomaly_slot_16.npy,9a09ee5cc3faa3c3562d29be5fea71f3493df1408d5c5d19c4adc662a5e9b984,lead_screw_anomaly,lead_screw_anomaly,,1,16,accepted
True,s_c/accepted/base_imbalance_slot_16.npy,2ce9bfea7fce6cce6decdba96c1b4a4d62cff508c24f357c45bd526a57aefadb,base_imbalance,base_imbalance,,2,16,accepted
True,s_c/accepted/normal_machining_slot_17.npy,bab5210a7f3ab1cbc3ba154cb6f140248eccd00fc663f5567f8795c756fd3510,normal_machining,normal_machining,,2,17,accepted
True,s_c/accepted/lead_screw_anomaly_slot_17.npy,074a72c4f42154cf3fc3583bf974c906f9303813a2c408e020423c6cfc056024,lead_screw_anomaly,lead_screw_anomaly,,1,17,accepted
True,s_c/accepted/base_imbalance_slot_17.npy,e28c1b3a875d86b2f380a8fef1d716e762c13fc9ce343a811fbb3d056fe701c5,base_imbalance,base_imbalance,,3,17,accepted
True,s_c/accepted/normal_machining_slot_18.npy,ff254e8e7e9aa459cc193e51363b799a8e38baf87c46a56734b72584ffc374b7,normal_machining,normal_machining,,1,18,accepted
True,s_c/accepted/lead_screw_anomaly_slot_18.npy,40658b6d86a7f365f75e05640b71f6aee064147995fcc09fd498e770e55cbee7,lead_screw_anomaly,lead_screw_anomaly,,1,18,accepted
True,s_c/accepted/base_imbalance_slot_18.npy,63551a8a50daf842a3d7fb9ce2ea4802ecaaba4c6f5689e192aa1836099c751b,base_imbalance,base_imbalance,,1,18,accepted
True,s_c/accepted/normal_machining_slot_19.npy,7493b88866bb5c06cd8f26b478722dcc82e1c91cb622e5d2b8f1a107be3b43d8,normal_machining,normal_machining,,1,19,accepted
True,s_c/accepted/lead_screw_anomaly_slot_19.npy,4001d690d4599d8f679f555a8d9092e1cfba1b4df5996bed41f2687b0c2ec353,lead_screw_anomaly,lead_screw_anomaly,,1,19,accepted
True,s_c/accepted/base_imbalance_slot_19.npy,7a1886873086d6cd32066093aaa39187737772a83f516a581bd4727b1a32cebe,base_imbalance,base_imbalance,,2,19,accepted
True,s_c/accepted/base_imbalance_slot_20.npy,af6291d11c363e746b26b380f3edcffeeda0dbb7e3f0067efba08196c5f52f0a,base_imbalance,base_imbalance,,1,20,accepted
True,s_c/accepted/base_imbalance_slot_21.npy,455108145b13e1ce40cc7ed55768114298e28dab3a489573711f0ebd1c7e26e3,base_imbalance,base_imbalance,,1,21,accepted
