_file_name;RPM_avg;e1_end;e1_freq_peaks;e1_peak_distance;e1_peak_first;e1_peak_height;e1_peak_last;e1_peak_qty;e1_peaks_value_avg;e1_peaks_value_max;e1_peaks_value_min;e1_sec_search;e1_signal;e1_start;e2_end;e2_freq_peaks;e2_peak_distance;e2_peak_first;e2_peak_height;e2_peak_last;e2_peak_qty;e2_peaks_value_avg;e2_peaks_value_max;e2_peaks_value_min;e2_sec_search;e2_signal;e2_start;i_end;i_freq_peaks;i_peak_distance;i_peak_first;i_peak_height;i_peak_last;i_peak_qty;i_peaks_value_avg;i_peaks_value_max;i_peaks_value_min;i_signal;i_start
Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep2.mat;397.8841229;750000;51233;455832;134641;200;590473;60;242.3225717;291.038712;200.0220443;3;Fz;44314;14634812;999781;8895116;2626990;0.02;11522106;60;0.027968626;0.086387044;0.020089429;3;AE_F;864310;3953;287;2554;506;-396.5;3060;60;-378.7864583;-376.5395833;-396.4947917;SREAL;0
Insert1Edge1_Vc100.0_fz0.1_ap1.5_VB0.139_Rep1.mat;397.8676756;498650;51216;301223;86380;200;387603;40;286.69591;357.9852633;200.0449958;2;Fz;36254;9717913;1000031;5881537;1668018;0.04;7549555;40;0.048931508;0.091238089;0.040140415;2;AE_F;689265;2546;282;1660;276;-396.5;1936;40;-368.979497;-365.9385417;-393.9770833;SREAL;0
Insert1Edge1_Vc100.0_fz0.1_ap1.5_VB0.139_Rep2.mat;397.9043201;460487;51225;301246;49751;200;350997;40;285.2401;350.8123513;200.1514758;2;Fz;0;9806925;998580;5872461;1828760;0.025;7701221;40;0.034263675;0.100940179;0.025263877;2;AE_F;830180;2580;286;1686;286;-396.5;1972;40;-368.6728404;-365.8385417;-383.4197917;SREAL;9
Insert1Edge1_Vc50.0_fz0.05_ap1.5_VB0.132_Rep1.mat;198.9306952;1500000;51026;938806;232437;85;1171243;62;230.0576216;290.779849;85.05566165;5;Fz;85089;29291485;996824;18339952;4531775;0;22871727;62;0.001292855;0.020736235;3.84E-05;5;AE_F;1653228;7902;285;5249;823;-196;6072;62;-178.0564815;-175.5947917;-195.5802083;SREAL;0
Insert1Edge1_Vc50.0_fz0.05_ap1.5_VB0.132_Rep2.mat;198.9528369;1412985;51208;911153;176175;100;1087328;60;233.0703533;289.1126662;101.2214277;5;Fz;0;30000000;999988;17792952;5861773;0;23654725;60;0.001430989;0.015561787;3.84E-05;7;AE_F;2407269;7896;286;5093;988;-196;6081;60;-177.3322404;-175.409375;-188.1260417;SREAL;5
Insert1Edge1_Vc50.0_fz0.1_ap1.5_VB0.137_Rep1.mat;198.9191599;790244;51111;447082;127074;150;574156;30;274.3448568;362.3874386;150.0731572;5;Fz;29400;16510778;998312;8732512;3557591;0;12290103;30;0.001819321;0.040787221;3.84E-05;5;AE_F;1649785;4183;281;2461;537;-196;2998;30;-167.0115591;-164.5510417;-186.0947917;SREAL;0
Insert1Edge1_Vc50.0_fz0.1_ap1.5_VB0.137_Rep2.mat;198.9680884;725176;50999;461376;51289;100;512665;31;269.9256679;358.896175;100.3270712;5;Fz;0;14949756;994240;8994577;1810052;0;10804629;31;0.001824952;0.021706444;3.84E-05;5;AE_F;812236;4161;278;2524;487;-196;3011;31;-167.6287435;-164.2947917;-194.8927083;SREAL;208
Insert2Edge1_Vc100.0_fz0.1_ap1.5_VB0.12_Rep1.mat;397.8306154;469338;51218;301265;57132;100;358397;40;229.7785194;402.4348176;100.4952569;5;Fz;47139;10000000;1000124;5882633;1950940;0.025;7833573;40;0.033357556;0.092208298;0.025263877;5;AE_F;1755794;2365;287;1690;56;-396.5;1746;40;-373.3733486;-371.13125;-395.3927083;SREAL;0
Insert2Edge1_Vc100.0_fz0.1_ap1.5_VB0.12_Rep2.mat;397.9738659;458133;51274;301482;46517;200;347999;40;250.6634858;392.5837275;200.0314506;3;Fz;34945;9767730;1000507;5882768;1735882;0.025;7618650;40;0.033235137;0.088327462;0.025263877;3;AE_F;1510074;2377;288;1695;65;-396.5;1760;40;-372.7584375;-370.8458333;-375.8520833;SREAL;0
Insert2Edge1_Vc100.0_fz0.2_ap1.5_VB0.123_Rep1.mat;397.8139744;408182;51114;300664;53348;200;354012;40;278.1268552;522.5558841;200.0288169;3;Fz;38162;8832297;998918;5875787;1897779;0.05;7773566;40;0.059124492;0.132957076;0.050165908;3;AE_F;1601000;1998;276;1629;82;-396.5;1711;40;-362.94375;-359.7166667;-381.675;SREAL;0
Insert2Edge1_Vc100.0_fz0.2_ap1.5_VB0.123_Rep2.mat;397.7857978;443061;51219;301302;84528;200;385830;40;279.8979227;501.5616467;200.0273119;3;Fz;72638;9503254;1000181;5883628;2501987;0.05;8385615;40;0.058700546;0.122284777;0.050165908;3;AE_F;2269803;2025;280;1651;65;-396.5;1716;40;-361.7492448;-359.015625;-365.0385417;SREAL;0
Insert2Edge1_Vc200.0_fz0.1_ap1.5_VB0.125_Rep1.mat;795.7903268;420170;51224;305113;59804;200;364917;80;291.7410674;479.9183706;200.0649373;3;Fz;50998;9041215;1000092;5956894;2005480;0.1;7962374;80;0.12557945;0.314062756;0.100293373;3;AE_F;1833535;2054;285;1698;49;-794.5;1747;80;-778.583642;-775.3229167;-793.51875;SREAL;0
Insert2Edge1_Vc200.0_fz0.1_ap1.5_VB0.125_Rep2.mat;795.7725301;411132;51225;305123;51312;200;356435;80;282.5329156;447.6876747;200.1631397;3;Fz;42597;8852819;1000194;5957635;1827150;0.1;7784785;80;0.122703332;0.272990575;0.100293373;3;AE_F;1656979;2072;288;1717;49;-794.5;1766;80;-778.5565715;-775.3083333;-792.846875;SREAL;0
Insert2Edge1_Vc200.0_fz0.2_ap1.5_VB0.125_Rep1.mat;795.6587551;314713;51209;227838;57779;200;285617;60;299.9640567;549.8162606;200.1390594;2;Fz;48178;6952678;1000081;4449508;1934911;0.1;6384419;60;0.132527134;0.375509326;0.100293373;2;AE_F;1747396;1499;288;1283;54;-794.5;1337;60;-771.3317623;-763.8072917;-791.5010417;SREAL;0
Insert2Edge1_Vc200.0_fz0.2_ap1.5_VB0.125_Rep2.mat;795.7882282;337278;51204;266387;42677;200;309064;70;320.922018;574.9022636;200.0611747;2;Fz;31832;7423030;1000047;5202635;1669287;0.1;6871922;70;0.140139662;0.385534819;0.100293373;3;AE_F;1457472;1718;288;1502;61;-794.5;1563;70;-770.9737676;-762.534375;-781.3885417;SREAL;0
Insert3Edge1_Vc100.0_fz0.05_ap1.5_VB0.206_Rep1.mat;397.9095016;750000;51218;455666;132415;200;588081;60;361.8127897;448.9658106;202.010172;3;Fz;48182;14637912;1000268;8898882;2578932;0.025;11477814;60;0.03404747;0.098676358;0.025263877;3;AE_F;933892;3932;287;2561;472;-386;3033;60;-375.4898522;-373.0489583;-383.80625;SREAL;0
Insert3Edge1_Vc100.0_fz0.05_ap1.5_VB0.206_Rep2.mat;397.8189648;750000;51211;455703;139551;200;595254;60;371.1243132;453.3337467;200.1021865;3;Fz;52149;14636461;999640;8895321;2722024;0.025;11617345;60;0.034620598;0.120344359;0.025263877;3;AE_F;1015925;3856;283;2519;483;-386;3002;60;-375.1067361;-373.334375;-377.5114583;SREAL;0
Insert3Edge1_Vc100.0_fz0.1_ap1.5_VB0.213_Rep1.mat;397.8536789;472754;51235;293619;68965;200;362584;39;387.8779748;473.2759772;200.3290678;3;Fz;49976;9231994;1000429;5733210;1347494;0.01;7080704;39;0.015962026;0.062778625;0.010063936;3;AE_F;976706;2360;286;1639;106;-396.5;1745;39;-366.3121354;-363.0916667;-378.9989583;SREAL;0
Insert3Edge1_Vc100.0_fz0.1_ap1.5_VB0.213_Rep2.mat;397.8178323;469184;51244;301422;95118;300;396540;40;403.5493087;503.5648246;303.1962409;5;Fz;43698;10000000;1002041;5894099;2685407;0.02;8579506;40;0.025481883;0.059221192;0.020089429;5;AE_F;1679911;2407;290;1710;291;-396.5;2001;40;-366.5012195;-363.45;-391.759375;SREAL;0
Insert3Edge1_Vc50.0_fz0.05_ap1.5_VB0.202_Rep1.mat;198.9563166;;;;;;;;;;;;;;;;;;;;;;;;;;;8490;285;5174;878;-196;6052;61;-174.2170531;-172.11875;-195.0072917;SREAL;0
Insert3Edge1_Vc50.0_fz0.05_ap1.5_VB0.202_Rep2.mat;198.9893358;1500000;51230;911379;211425;150;1122804;60;303.769115;368.9707601;150.4437677;5;Fz;45376;29292035;1000608;17800724;4126394;0;21927118;60;0.001919088;0.026234086;3.84E-05;5;AE_F;883165;8120;286;5102;927;-196;6029;60;-174.075;-171.71875;-192.9760417;SREAL;0
Insert3Edge1_Vc50.0_fz0.05_ap1.5_VB0.202_Rep3.mat;198.9430434;1500000;51190;910880;220762;200;1131642;60;313.1348342;397.140167;200.916777;5;Fz;43941;29297401;999796;17790421;4313062;0;22103483;60;0.001927991;0.043697848;3.84E-05;5;AE_F;859542;8078;284;5060;981;-196;6041;60;-173.6583333;-171.0177083;-193.9208333;SREAL;0
Insert3Edge1_Vc50.0_fz0.1_ap1.5_VB0.206_Rep1.mat;198.8741685;750000;51077;446894;148104;200;594998;30;345.2144583;438.4092437;201.3408156;3;Fz;43785;14618998;999789;8747409;2840565;0.01;11587974;30;0.013902976;0.045314863;0.010063936;3;AE_F;798594;3912;283;2483;578;-196;3061;30;-163.7976478;-160.403125;-179.3010417;SREAL;0
Insert3Edge1_Vc50.0_fz0.1_ap1.5_VB0.206_Rep2.mat;198.9217767;750000;51221;448046;134056;200;582102;30;347.575211;429.5981205;200.9777302;3;Fz;45633;14583814;996780;8718995;2597972;0.01;11316967;30;0.014476046;0.057280774;0.010063936;4;AE_F;877215;3919;285;2500;492;-196;2992;30;-164.1498698;-159.859375;-191.8322917;SREAL;0
Insert4Edge1_Vc100.0_fz0.1_ap1.5_VB0.201_Rep1.mat;397.8502958;496938;51262;301508;84669;200;386177;40;303.9012353;511.0120259;200.0886413;3;Fz;72714;9703299;1000202;5882801;1659271;0.025;7542072;40;0.032713299;0.085740238;0.025263877;3;AE_F;1426009;2342;283;1669;66;-396.5;1735;40;-367.73375;-364.8947917;-373.4354167;SREAL;0
Insert4Edge1_Vc100.0_fz0.1_ap1.5_VB0.201_Rep2.mat;397.8608199;468207;51098;308237;54956;300;363193;41;429.4784484;645.2106471;300.0624188;1.5;Fz;46381;9152029;998814;6025110;1074208;0.04;7099318;41;0.050342101;0.154301674;0.040140415;1.5;AE_F;906575;2361;286;1726;48;-396.5;1774;41;-368.617378;-365.5822917;-384.2635417;SREAL;0
Insert4Edge1_Vc100.0_fz0.2_ap1.5_VB0.202_Rep1.mat;397.9779833;425894;51232;301231;65314;200;366545;40;460.1466934;708.9150151;200.1416932;3;Fz;55708;9735571;1000830;5884604;2691535;0.025;8576139;40;0.045112022;0.225773737;0.025263877;3;AE_F;2503880;2081;288;1699;54;-396.5;1753;40;-357.1357978;-353.25;-389.328125;SREAL;0
Insert4Edge1_Vc100.0_fz0.2_ap1.5_VB0.202_Rep2.mat;397.9306028;412702;51084;308098;52817;300;360915;41;424.0668056;641.916917;300.1335309;3;Fz;43979;9214375;997216;6014416;2189005;0.05;8203421;41;0.059986485;0.136837912;0.050165908;4;AE_F;2016477;2086;289;1748;50;-396.5;1798;41;-359.2118902;-355.696875;-380.8166667;SREAL;0
Insert4Edge1_Vc200.0_fz0.1_ap1.5_VB0.211_Rep1.mat;795.7616689;424216;51229;305152;63636;300;368788;80;449.2152807;664.3631197;300.8807719;3;Fz;55188;9558324;1000065;5956949;2519270;0.1;8476219;80;0.126720314;0.301773442;0.100293373;3;AE_F;2354347;2053;285;1701;47;-794.5;1748;80;-775.9972005;-770.8447917;-781.5166667;SREAL;0
Insert4Edge1_Vc200.0_fz0.1_ap1.5_VB0.211_Rep2.mat;795.8009105;472741;51232;305155;111290;200;416445;80;312.7418065;523.1285431;200.0036078;3;Fz;103694;9232753;1000294;5958018;2175506;0.1;8133524;80;0.124577524;0.256820425;0.100293373;3;AE_F;2027187;2089;290;1729;43;-794.5;1772;80;-776.2978255;-770.7739583;-782.41875;SREAL;0
Insert4Edge1_Vc200.0_fz0.2_ap1.5_VB0.242_Rep1.mat;795.8578717;310076;51222;227838;54505;300;282343;60;455.7845268;687.4523411;300.4826949;5;Fz;44441;6053946;999662;4446528;1066158;0.15;5512686;60;0.17530489;0.334760548;0.150097435;5;AE_F;869734;1478;285;1271;56;-794.5;1327;60;-769.4756831;-763.2927083;-789.7854167;SREAL;0
Insert4Edge1_Vc200.0_fz0.2_ap1.5_VB0.242_Rep2.mat;795.7174596;317660;51224;227888;59577;300;287465;60;460.5088625;681.7833176;300.7671431;5;Fz;50832;6202723;1000050;4449042;1164144;0.12;5613186;60;0.146838006;0.318913801;0.120020956;5;AE_F;993404;1495;287;1279;49;-794.5;1328;60;-769.0298264;-761.475;-776.3104167;SREAL;0
Insert6Edge1_Vc100.0_fz0.05_ap1.5_VB0.291_Rep1.mat;397.9360038;750000;51223;455676;144033;250;599709;60;464.3864474;554.1868306;250.6760319;5;Fz;54169;14495252;1000616;8901386;2659896;0.015;11561282;60;0.018465322;0.036259579;0.015238384;5;AE_F;904430;3871;285;2542;500;-396.5;3042;60;-374.4403108;-371.6041667;-394.1354167;SREAL;0
Insert6Edge1_Vc100.0_fz0.05_ap1.5_VB0.291_Rep2.mat;397.8123353;742959;51229;455874;143810;300;599684;60;479.7486078;556.1177677;300.3239156;5;Fz;58902;14506019;999990;8898588;2810634;0.01;11709222;60;0.01369075;0.103527403;0.010063936;5;AE_F;1153212;3859;289;2575;479;-396.5;3054;60;-375.1765224;-371.5322917;-396.2375;SREAL;0
Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.276_Rep1.mat;397.851739;498140;51136;300766;93070;300;393836;40;512.9339363;773.7470173;300.0278034;5;Fz;36821;9725649;999916;5881098;1804886;0.05;7685984;40;0.06607282;0.16141654;0.050165908;5;AE_F;704979;2526;280;1647;308;-396.5;1955;40;-368.6644563;-365.753125;-384.79375;SREAL;0
Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.276_Rep2.mat;397.9750052;500000;51228;301210;107665;300;408875;40;527.412798;741.2390221;300.4499608;5;Fz;61811;9763835;1000542;5882957;2102343;0.025;7985300;40;0.039469105;0.157535704;0.025263877;5;AE_F;1206753;2446;286;1683;256;-396.5;1939;40;-369.3843508;-365.8385417;-396.3802083;SREAL;0
Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.291_Rep1.mat;397.9419909;495329;51219;301186;104509;300;405695;40;510.3031428;647.0990674;300.8747519;5;Fz;52398;10000000;1000404;5882634;2366540;0.005;8249174;40;0.009416361;0.041434027;0.005212891;5;AE_F;1348708;2481;287;1689;292;-396.5;1981;40;-364.8631696;-360.503125;-395.59375;SREAL;0
Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.291_Rep2.mat;397.8159284;500000;51211;301231;111464;300;412695;40;520.4236173;628.2359344;317.9202004;5;Fz;62402;9761193;1000084;5882613;2176640;0.01;8059253;40;0.013972759;0.052429729;0.010063936;5;AE_F;1218518;2443;286;1687;274;-396.5;1961;40;-366.3517282;-360.5604167;-396.0229167;SREAL;0
Insert6Edge1_Vc100.0_fz0.2_ap1.5_VB0.281_Rep1.mat;397.8272143;448954;51110;308338;88135;300;396473;41;555.2602657;856.8751373;300.9590328;5;Fz;60877;8770816;1000625;6036546;1706754;0.05;7743300;41;0.071891871;0.207986572;0.050165908;5;AE_F;1173088;2164;285;1722;152;-396.5;1874;41;-359.6350198;-355.0385417;-395.2791667;SREAL;0
Insert6Edge1_Vc100.0_fz0.2_ap1.5_VB0.281_Rep2.mat;397.9606858;431906;51219;301167;70425;300;371592;40;557.9191132;874.5504356;300.2783888;5;Fz;41131;8429953;1001464;5888589;1362067;0.05;7250656;40;0.070793083;0.257790634;0.050165908;5;AE_F;789288;2121;278;1636;159;-396.5;1795;40;-359.5092758;-355.0520833;-386.0520833;SREAL;0
Insert6Edge1_Vc200.0_fz0.1_ap1.5_VB0.274_Rep1.mat;795.7993144;;;;;;;;;;;;;;;;;;;;;;;;;;;2039;283;1691;47;-794.5;1738;80;-773.2102083;-769.5729167;-779.3145833;SREAL;0
Insert6Edge1_Vc200.0_fz0.1_ap1.5_VB0.274_Rep2.mat;795.8118689;418279;51191;312622;62604;200;375226;82;574.7842731;847.6542732;200.4058237;5;Fz;39973;10000000;999960;6106728;3052277;0.2;9159005;82;0.527030581;0.960008577;0.200162049;6;AE_RMS;2610190;2106;285;1742;126;-794.5;1868;82;-773.356123;-769.4145833;-787.76875;SREAL;0
Insert6Edge1_Vc200.0_fz0.1_ap1.5_VB0.284_Rep3.mat;795.7712957;425508;51205;312729;90375;200;403104;82;580.1648193;833.8032237;200.1898537;5;Fz;67434;10000000;1000067;6107697;3454638;0.2;9562335;82;0.509814084;0.981330801;0.200162049;5;AE_RMS;3006580;1951;279;1708;125;-794.5;1833;82;-774.9779217;-771.3458333;-782.890625;SREAL;0
Insert6Edge1_Vc200.0_fz0.2_ap1.5_VB0.272_Rep1.mat;795.7738506;291757;51235;231783;32696;300;264479;61;586.5729495;818.5780934;300.1519674;5;Fz;24939;5970994;1000860;4527791;910307;0.1;5438098;61;0.130260636;0.334113742;0.100293373;5;AE_F;758769;1479;284;1289;43;-794.5;1332;61;-766.3284836;-760.8177083;-779.671875;SREAL;0
Insert6Edge1_Vc200.0_fz0.2_ap1.5_VB0.272_Rep2.mat;795.8653361;328507;51233;227887;70379;300;298266;60;598.2386271;840.7533931;301.0865831;5;Fz;62703;6415585;1000745;4451303;1373504;0.1;5824807;60;0.131069135;0.306301084;0.100293373;5;AE_F;1223567;1489;287;1280;43;-794.5;1323;60;-766.2781933;-758.6291667;-791.4302083;SREAL;0
Insert6Edge1_Vc50.0_fz0.05_ap1.5_VB0.287_Rep1.mat;198.9084987;1500000;51117;925173;221270;200;1146443;61;371.3133949;480.9519411;200.7707903;5;Fz;55230;29316744;999277;18085704;4320843;0.001;22406547;61;0.004300624;0.060838207;0.001008652;5;AE_F;1074940;8083;286;5191;929;-196;6120;61;-173.5091601;-170.5739583;-193.9489583;SREAL;0
Insert6Edge1_Vc50.0_fz0.05_ap1.5_VB0.287_Rep2.mat;198.9660049;1490555;51113;940244;121426;200;1061670;62;381.055593;503.2431271;201.2915263;5;Fz;0;29712155;999593;18387625;2934326;0.02;21321951;62;0.034440547;0.067705809;0.020215401;5;AE_RMS;562053;8450;284;5235;842;-196;6077;62;-173.1833995;-170.903125;-195.521875;SREAL;168
Insert6Edge1_Vc50.0_fz0.1_ap1.5_VB0.287_Rep1.mat;198.9698805;816566;51042;461760;143239;200;604999;31;421.7416095;519.2881155;200.0562834;5;Fz;55205;15974524;997236;9021598;2819348;0;11840946;31;0.002085882;0.016531996;3.84E-05;5;AE_F;1099377;4281;287;2605;495;-196;3100;31;-163.7541667;-159.63125;-195.3927083;SREAL;0
Insert6Edge1_Vc50.0_fz0.1_ap1.5_VB0.287_Rep2.mat;198.928554;750000;51208;463360;126648;200;590008;31;427.1084065;527.9242805;200.6680729;5;Fz;48583;14649749;999656;9045369;2482608;0.001;11527977;31;0.003074863;0.029791519;0.001008652;5;AE_F;958657;3917;286;2589;436;-196;3025;31;-164.7216225;-160.2885417;-195.7510417;SREAL;0
Insert9Edge1_Vc50.0_fz0.05_ap1.5_VB0.0_Rep1.mat;198.9735711;992437;51293;773366;217161;25;990527;51;138.2057276;194.5701195;25.03708073;5;Fz;51501;20000000;1000219;15080690;4882030;0.025;19962720;51;0.028725035;0.081597561;0.025061361;5;AE_RMS;1651641;5191;283;4277;914;-196;5191;51;-181.7741633;-179.9583333;-195.0072917;SREAL;0
Insert9Edge1_Vc50.0_fz0.05_ap1.5_VB0.0_Rep2.mat;198.9539551;1152138;51177;926046;163589;100;1089635;61;155.5372866;201.3596283;100.0140276;5;Fz;0;24000000;999933;18093433;4682714;0.02;22776147;61;0.025122338;0.091289481;0.020215401;5;AE_RMS;1488684;6272;278;5035;902;-196;5937;61;-181.0084529;-179.3864583;-187.9270833;SREAL;14
Insert9Edge1_Vc50.0_fz0.1_ap1.5_VB0.03_Rep1.mat;198.9518611;750000;51207;463294;130885;0.25;594179;31;0.34202565;0.901321128;0.250020836;6;Az;47876;14647175;1000031;9047702;2559081;0.02;11606783;31;0.024172421;0.046706649;0.020215401;5;AE_RMS;937979;3907;285;2582;462;-196;3044;31;-171.4708333;-168.6854167;-189.9572917;SREAL;0
Insert9Edge1_Vc50.0_fz0.1_ap1.5_VB0.03_Rep2.mat;199.0175588;731333;51141;462546;115901;100;578447;31;194.9898902;252.7567182;100.0238102;5;Fz;32864;15000000;1000541;9049327;2959462;0.02;12008789;31;0.023978529;0.051552609;0.020215401;5;AE_RMS;1334891;3919;287;2604;466;-196;3070;31;-170.815457;-168.4145833;-190.8875;SREAL;0
Insert9Edge2_Vc100.0_fz0.05_ap1.5_VB0.0_Rep1.mat;397.8443634;;;;;;;;;;;;;;;;;;;;;;;;;;;4220;284;2574;455;-396.5;3029;61;-382.3058402;-380.7875;-391.4875;SREAL;0
Insert9Edge2_Vc100.0_fz0.05_ap1.5_VB0.0_Rep2.mat;397.8672202;750000;51224;455763;140540;100;596303;60;160.771913;209.0717127;100.0399892;5;Fz;53316;14641737;1000063;8898002;2745883;0.01;11643885;60;0.014677818;0.048548893;0.010063936;5;AE_F;1042979;3889;286;2546;487;-396.5;3033;60;-381.6943306;-380.0583333;-393.6625;SREAL;0
Insert9Edge2_Vc100.0_fz0.1_ap1.5_VB0.039_Rep1.mat;397.8424511;;;;;;;;;;;;;;;;;;;;;;;;;;;2555;280;1693;283;-396.5;1976;41;-372.0223069;-369.5583333;-395.1645833;SREAL;0
Insert9Edge2_Vc100.0_fz0.1_ap1.5_VB0.039_Rep2.mat;397.92923;478887;51225;308950;66601;150;375551;41;212.3372261;274.2385812;150.0325217;5;Fz;22159;10000000;1000422;6033769;1948070;0.05;7981839;41;0.09692083;0.230207001;0.050260353;5;AE_RMS;1080109;2558;287;1733;249;-396.5;1982;41;-371.3035569;-369.1145833;-381.81875;SREAL;0
