class,source,source_index,sample,time_ms,amplitude
OR,real,2086,166,20.75,0.04361249506473541
OR,real,2086,167,20.875,0.08952518552541733
OR,real,2086,168,21.0,-0.022825611755251884
OR,real,2086,169,21.125,0.03213650733232498
OR,real,2086,170,21.25,0.053013790398836136
OR,real,2086,171,21.375,0.024222105741500854
OR,real,2086,172,21.5,0.09581468254327774
OR,real,2086,173,21.625,-0.006311799865216017
OR,real,2086,174,21.75,0.07660969346761703
OR,real,2086,175,21.875,0.03378785401582718
OR,real,2086,176,22.0,0.07873237133026123
OR,real,2086,177,22.125,0.04589487239718437
OR,real,2086,178,22.25,-0.04775310680270195
OR,real,2086,179,22.375,0.018675995990633965
OR,real,2086,180,22.5,-0.0005137952393852174
OR,real,2086,181,22.625,0.14924810826778412
OR,real,2086,182,22.75,0.12335394322872162
OR,real,2086,183,22.875,0.019308259710669518
OR,real,2086,184,23.0,0.021625708788633347
OR,real,2086,185,23.125,-0.050969433039426804
OR,real,2086,186,23.25,0.07293819636106491
OR,real,2086,187,23.375,0.04783423990011215
OR,real,2086,188,23.5,0.014383528381586075
OR,real,2086,189,23.625,0.062267184257507324
OR,real,2086,190,23.75,-0.07653912901878357
OR,real,2086,191,23.875,0.10518778860569
OR,real,2086,192,24.0,0.06400945037603378
OR,real,2086,193,24.125,0.09217915683984756
OR,real,2086,194,24.25,0.07198214530944824
OR,real,2086,195,24.375,-0.01827622577548027
OR,real,2086,196,24.5,0.00876622088253498
OR,real,2086,197,24.625,0.019760066643357277
OR,real,2086,198,24.75,0.02132062055170536
OR,real,2086,199,24.875,0.07574745267629623
OR,real,2086,200,25.0,0.022295549511909485
OR,real,2086,201,25.125,0.03211268037557602
OR,real,2086,202,25.25,0.03348845988512039
OR,real,2086,203,25.375,0.054634708911180496
OR,real,2086,204,25.5,0.1087469831109047
OR,real,2086,205,25.625,0.03909992054104805
OR,real,2086,206,25.75,0.09788361936807632
OR,real,2086,207,25.875,0.011765580624341965
OR,real,2086,208,26.0,-0.025748159736394882
OR,real,2086,209,26.125,0.04405093193054199
OR,real,2086,210,26.25,0.007471808698028326
OR,real,2086,211,26.375,0.000913304160349071
OR,real,2086,212,26.5,0.04510003328323364
OR,real,2086,213,26.625,0.060214538127183914
OR,real,2086,214,26.75,0.08292281627655029
OR,real,2086,215,26.875,0.10059992223978043
OR,real,2086,216,27.0,0.08537629246711731
OR,real,2086,217,27.125,0.017770038917660713
OR,real,2086,218,27.25,-0.04179028794169426
OR,real,2086,219,27.375,0.0042649367824196815
OR,real,2086,220,27.5,0.06507114320993423
OR,real,2086,221,27.625,0.09010133892297745
OR,real,2086,222,27.75,0.056411873549222946
OR,real,2086,223,27.875,-0.025980468839406967
OR,real,2086,224,28.0,0.025162024423480034
OR,real,2086,225,28.125,0.06691604852676392
OR,real,2086,226,28.25,0.08719765394926071
OR,real,2086,227,28.375,0.13237835466861725
OR,real,2086,228,28.5,-0.0027331465389579535
OR,real,2086,229,28.625,0.0209703017026186
OR,real,2086,230,28.75,0.056253064423799515
OR,real,2086,231,28.875,0.06779913604259491
OR,real,2086,232,29.0,0.059966620057821274
OR,real,2086,233,29.125,0.0008321763016283512
OR,real,2086,234,29.25,-0.006141610909253359
OR,real,2086,235,29.375,-0.010241705924272537
OR,real,2086,236,29.5,0.06674851477146149
OR,real,2086,237,29.625,0.05151515454053879
OR,real,2086,238,29.75,0.021006735041737556
OR,real,2086,239,29.875,0.042444195598363876
OR,real,2086,240,30.0,0.07829078286886215
OR,real,2086,241,30.125,0.08782050758600235
OR,real,2086,242,30.25,0.04241948202252388
OR,real,2086,243,30.375,0.05789269506931305
OR,real,2086,244,30.5,0.06659163534641266
OR,real,2086,245,30.625,0.048296019434928894
OR,real,2086,246,30.75,0.027882153168320656
OR,real,2086,247,30.875,0.01783408597111702
OR,real,2086,248,31.0,-0.010694174095988274
OR,real,2086,249,31.125,0.05562505125999451
OR,real,2086,250,31.25,0.03648298978805542
OR,real,2086,251,31.375,0.056391481310129166
OR,real,2086,252,31.5,0.05706154182553291
OR,real,2086,253,31.625,0.03797389939427376
OR,real,2086,254,31.75,0.12536396086215973
OR,real,2086,255,31.875,0.06793611496686935
OR,real,2086,256,32.0,0.05868241563439369
OR,real,2086,257,32.125,-0.05087492987513542
OR,real,2086,258,32.25,-0.016929475590586662
OR,real,2086,259,32.375,-0.024272887036204338
OR,real,2086,260,32.5,0.05251055210828781
OR,real,2086,261,32.625,0.15455295145511627
OR,real,2086,262,32.75,0.10359881073236465
OR,real,2086,263,32.875,0.07422355562448502
OR,real,2086,264,33.0,0.05673382431268692
OR,real,2086,265,33.125,0.054863955825567245
OR,real,2086,266,33.25,0.07576624304056168
OR,real,2086,267,33.375,0.06548497825860977
OR,real,2086,268,33.5,0.041780680418014526
OR,real,2086,269,33.625,0.022905481979250908
OR,real,2086,270,33.75,0.00122103001922369
OR,real,2086,271,33.875,0.01031788345426321
OR,real,2086,272,34.0,0.054316744208335876
OR,real,2086,273,34.125,0.07349182665348053
OR,real,2086,274,34.25,0.06409561634063721
OR,real,2086,275,34.375,0.027742862701416016
OR,real,2086,276,34.5,0.006944348104298115
OR,real,2086,277,34.625,0.04391628876328468
OR,real,2086,278,34.75,0.03335508331656456
OR,real,2086,279,34.875,0.11317973583936691
OR,real,2086,280,35.0,0.03043365105986595
OR,real,2086,281,35.125,0.025871625170111656
OR,real,2086,282,35.25,0.044221457093954086
OR,real,2086,283,35.375,0.013096907176077366
OR,real,2086,284,35.5,0.08878105133771896
OR,real,2086,285,35.625,0.027601491659879684
OR,real,2086,286,35.75,0.06153327599167824
OR,real,2086,287,35.875,0.01991887576878071
OR,real,2086,288,36.0,-0.000618095335084945
OR,real,2086,289,36.125,0.0733606144785881
OR,real,2086,290,36.25,0.05142977833747864
OR,real,2086,291,36.375,0.1127844974398613
OR,real,2086,292,36.5,0.05624355003237724
OR,real,2086,293,36.625,0.08064992725849152
OR,real,2086,294,36.75,0.01856612227857113
OR,real,2086,295,36.875,-0.0014467521104961634
OR,real,2086,296,37.0,0.14973190426826477
OR,real,2086,297,37.125,-0.030638689175248146
OR,real,2086,298,37.25,-0.03207774832844734
OR,real,2086,299,37.375,0.1504310965538025
OR,real,2086,300,37.5,0.1341509371995926
OR,real,2086,301,37.625,-0.0763617604970932
OR,real,2086,302,37.75,0.020198116078972816
OR,real,2086,303,37.875,0.032035838812589645
OR,real,2086,304,38.0,0.10733966529369354
OR,real,2086,305,38.125,0.07072126120328903
OR,real,2086,306,38.25,0.02015990950167179
OR,real,2086,307,38.375,0.16142438352108002
OR,real,2086,308,38.5,0.060741230845451355
OR,real,2086,309,38.625,0.016580644994974136
OR,real,2086,310,38.75,-0.009395807050168514
OR,real,2086,311,38.875,0.016230963170528412
OR,real,2086,312,39.0,0.0063428026624023914
OR,real,2086,313,39.125,0.028057599440217018
OR,real,2086,314,39.25,0.0715431272983551
OR,real,2086,315,39.375,0.035784706473350525
OR,real,2086,316,39.5,0.06988073140382767
OR,real,2086,317,39.625,0.06539177149534225
OR,real,2086,318,39.75,0.00996413268148899
OR,real,2086,319,39.875,0.03011331520974636
OR,real,2086,320,40.0,-0.008262724615633488
OR,real,2086,321,40.125,0.03559381514787674
OR,real,2086,322,40.25,0.06610815227031708
OR,real,2086,323,40.375,-0.0014583541778847575
OR,real,2086,324,40.5,0.040255356580019
OR,real,2086,325,40.625,0.03403603285551071
OR,real,2086,326,40.75,0.08467268198728561
OR,real,2086,327,40.875,0.08273545652627945
OR,real,2086,328,41.0,0.10293097048997879
OR,real,2086,329,41.125,0.03758348152041435
OR,real,2086,330,41.25,-0.021570000797510147
OR,real,2086,331,41.375,-0.025779517367482185
OR,real,2086,332,41.5,0.04380834475159645
OR,real,2086,333,41.625,0.06358367949724197
OR,real,2086,334,41.75,0.04479421302676201
OR,real,2086,335,41.875,0.010644285939633846
OR,real,2086,336,42.0,0.001224966486915946
OR,real,2086,337,42.125,0.0749981701374054
OR,real,2086,338,42.25,0.12101907283067703
OR,real,2086,339,42.375,0.1157480925321579
OR,real,2086,340,42.5,0.03394436091184616
OR,real,2086,341,42.625,-0.010678496211767197
OR,real,2086,342,42.75,-0.04943219944834709
OR,real,2086,343,42.875,-0.009926657192409039
OR,real,2086,344,43.0,0.039361387491226196
OR,real,2086,345,43.125,0.07544083893299103
OR,real,2086,346,43.25,0.06503980606794357
OR,real,2086,347,43.375,0.06145136430859566
OR,real,2086,348,43.5,0.002305170986801386
OR,real,2086,349,43.625,0.06858567148447037
OR,real,2086,350,43.75,-0.000520761706866324
OR,real,2086,351,43.875,0.07665508985519409
OR,real,2086,352,44.0,0.01623765006661415
OR,real,2086,353,44.125,-0.01790461130440235
OR,real,2086,354,44.25,0.033154889941215515
OR,real,2086,355,44.375,-0.031949300318956375
OR,real,2086,356,44.5,0.08755707740783691
OR,real,2086,357,44.625,0.09015999734401703
OR,real,2086,358,44.75,0.09555350244045258
OR,real,2086,359,44.875,0.06269723922014236
OR,real,2086,360,45.0,0.0881001204252243
OR,real,2086,361,45.125,0.029136143624782562
OR,real,2086,362,45.25,0.04029408469796181
OR,real,2086,363,45.375,-0.003710560966283083
OR,real,2086,364,45.5,-0.07286335527896881
OR,real,2086,365,45.625,0.06929481029510498
OR,real,2086,366,45.75,-0.0017985962331295013
OR,real,2086,367,45.875,0.07802049070596695
OR,real,2086,368,46.0,0.033658649772405624
OR,real,2086,369,46.125,0.05756326764822006
OR,real,2086,370,46.25,0.10392752289772034
OR,real,2086,371,46.375,0.06321152299642563
OR,real,2086,372,46.5,0.14310787618160248
OR,real,2086,373,46.625,-0.01635601744055748
OR,real,2086,374,46.75,-0.027950679883360863
OR,real,2086,375,46.875,0.033214882016181946
OR,real,2086,376,47.0,3.5282766475575045e-05
OR,real,2086,377,47.125,0.07286131381988525
OR,real,2086,378,47.25,0.05278144031763077
OR,real,2086,379,47.375,0.010584658943116665
OR,real,2086,380,47.5,0.013934966176748276
OR,real,2086,381,47.625,0.01683315448462963
OR,real,2086,382,47.75,0.07827972620725632
OR,real,2086,383,47.875,0.08034611493349075
OR,real,2086,384,48.0,0.024374525994062424
OR,real,2086,385,48.125,0.01070110872387886
OR,real,2086,386,48.25,-0.019430367276072502
OR,real,2086,387,48.375,0.013513757847249508
OR,real,2086,388,48.5,0.08931393176317215
OR,real,2086,389,48.625,0.10726871341466904
OR,real,2086,390,48.75,0.08466194570064545
OR,real,2086,391,48.875,0.04392135888338089
OR,real,2086,392,49.0,0.04247244819998741
OR,real,2086,393,49.125,0.013466326519846916
OR,real,2086,394,49.25,0.001168469781987369
OR,real,2086,395,49.375,0.044735126197338104
OR,real,2086,396,49.5,0.007165790069848299
OR,real,2086,397,49.625,0.047951072454452515
OR,real,2086,398,49.75,0.022175069898366928
OR,real,2086,399,49.875,0.02355286292731762
OR,llm,213,0,0.0,0.04118725284934044
OR,llm,213,1,0.125,-0.011949623934924603
OR,llm,213,2,0.25,-0.0826491117477417
OR,llm,213,3,0.375,0.0422171913087368
OR,llm,213,4,0.5,-0.06551074981689453
OR,llm,213,5,0.625,-0.014686964452266693
OR,llm,213,6,0.75,0.04196399450302124
OR,llm,213,7,0.875,0.04137329384684563
OR,llm,213,8,1.0,0.017894422635436058
OR,llm,213,9,1.125,-0.042827583849430084
OR,llm,213,10,1.25,-0.08038122951984406
OR,llm,213,11,1.375,-0.05728497356176376
OR,llm,213,12,1.5,0.08272261917591095
OR,llm,213,13,1.625,0.07456263899803162
OR,llm,213,14,1.75,-0.03238422051072121
OR,llm,213,15,1.875,-0.07142491638660431
OR,llm,213,16,2.0,0.014283263124525547
OR,llm,213,17,2.125,-0.013624736107885838
OR,llm,213,18,2.25,0.008060215972363949
OR,llm,213,19,2.375,0.022425565868616104
OR,llm,213,20,2.5,0.007238817401230335
OR,llm,213,21,2.625,-0.05368722230195999
OR,llm,213,22,2.75,-0.012589672580361366
OR,llm,213,23,2.875,-0.01367208082228899
OR,llm,213,24,3.0,0.026155121624469757
OR,llm,213,25,3.125,0.04400978609919548
OR,llm,213,26,3.25,-0.030095567926764488
OR,llm,213,27,3.375,-0.05968506634235382
OR,llm,213,28,3.5,0.028750456869602203
OR,llm,213,29,3.625,0.04348081350326538
OR,llm,213,30,3.75,0.04091797024011612
OR,llm,213,31,3.875,-0.06772097200155258
OR,llm,213,32,4.0,-0.021554825827479362
OR,llm,213,33,4.125,0.005486755166202784
OR,llm,213,34,4.25,-0.08669205009937286
OR,llm,213,35,4.375,0.06338810920715332
OR,llm,213,36,4.5,0.03450033441185951
OR,llm,213,37,4.625,0.0027342624962329865
OR,llm,213,38,4.75,0.012587714940309525
OR,llm,213,39,4.875,0.04669855535030365
OR,llm,213,40,5.0,-0.0376550629734993
OR,llm,213,41,5.125,0.010525386780500412
OR,llm,213,42,5.25,0.005444950889796019
OR,llm,213,43,5.375,0.04989079758524895
OR,llm,213,44,5.5,-0.06606236100196838
OR,llm,213,45,5.625,0.007653664797544479
OR,llm,213,46,5.75,-0.02585071139037609
OR,llm,213,47,5.875,0.010436701588332653
OR,llm,213,48,6.0,0.031656377017498016
OR,llm,213,49,6.125,0.034583378583192825
OR,llm,213,50,6.25,-0.004918801598250866
OR,llm,213,51,6.375,-0.015383584424853325
OR,llm,213,52,6.5,-0.03917774185538292
OR,llm,213,53,6.625,0.07416296750307083
OR,llm,213,54,6.75,-0.0178749430924654
OR,llm,213,55,6.875,-0.0078813461586833
OR,llm,213,56,7.0,0.025377772748470306
OR,llm,213,57,7.125,-0.029880793765187263
OR,llm,213,58,7.25,1.1845038443425437e-06
OR,llm,213,59,7.375,-0.030996115878224373
OR,llm,213,60,7.5,0.006939359474927187
OR,llm,213,61,7.625,0.016685882583260536
OR,llm,213,62,7.75,-0.028978709131479263
OR,llm,213,63,7.875,0.08826449513435364
OR,llm,213,64,8.0,-0.06644260883331299
OR,llm,213,65,8.125,-0.08929852396249771
OR,llm,213,66,8.25,0.03035522811114788
OR,llm,213,67,8.375,-0.03621109575033188
OR,llm,213,68,8.5,0.08818445354700089
OR,llm,213,69,8.625,-0.028933323919773102
OR,llm,213,70,8.75,-0.00702110817655921
OR,llm,213,71,8.875,-0.012439652346074581
OR,llm,213,72,9.0,0.15334759652614594
OR,llm,213,73,9.125,0.009957496076822281
OR,llm,213,74,9.25,0.042142607271671295
OR,llm,213,75,9.375,-0.049403924494981766
OR,llm,213,76,9.5,0.2453373819589615
OR,llm,213,77,9.625,0.3771990239620209
OR,llm,213,78,9.75,0.2658238112926483
OR,llm,213,79,9.875,0.08380455523729324
OR,llm,213,80,10.0,-0.11982186883687973
OR,llm,213,81,10.125,-0.19075387716293335
OR,llm,213,82,10.25,-0.12420047074556351
OR,llm,213,83,10.375,-0.06862597912549973
OR,llm,213,84,10.5,-0.059994254261255264
OR,llm,213,85,10.625,0.10313770920038223
OR,llm,213,86,10.75,0.11277832090854645
OR,llm,213,87,10.875,0.11021162569522858
OR,llm,213,88,11.0,0.01178082637488842
OR,llm,213,89,11.125,0.0058820294216275215
OR,llm,213,90,11.25,-0.05323499068617821
OR,llm,213,91,11.375,-0.08183655142784119
OR,llm,213,92,11.5,-0.12358937412500381
OR,llm,213,93,11.625,0.05976037308573723
OR,llm,213,94,11.75,0.023340890184044838
OR,llm,213,95,11.875,0.01925477758049965
OR,llm,213,96,12.0,0.010294647887349129
OR,llm,213,97,12.125,0.005978910252451897
OR,llm,213,98,12.25,0.08003407716751099
OR,llm,213,99,12.375,0.0110196303576231
OR,llm,213,100,12.5,-0.0120194461196661
OR,llm,213,101,12.625,-0.10590438544750214
OR,llm,213,102,12.75,-0.031208403408527374
OR,llm,213,103,12.875,-0.01801285147666931
OR,llm,213,104,13.0,-0.024810049682855606
OR,llm,213,105,13.125,0.06639657914638519
OR,llm,213,106,13.25,0.08146539330482483
OR,llm,213,107,13.375,-0.03252213075757027
OR,llm,213,108,13.5,0.01005573756992817
OR,llm,213,109,13.625,-0.022727875038981438
OR,llm,213,110,13.75,-0.09747314453125
OR,llm,213,111,13.875,-0.025731228291988373
OR,llm,213,112,14.0,0.09813938289880753
OR,llm,213,113,14.125,0.03933403640985489
OR,llm,213,114,14.25,-0.004522354807704687
OR,llm,213,115,14.375,-0.060278452932834625
OR,llm,213,116,14.5,0.009214019402861595
OR,llm,213,117,14.625,0.025699548423290253
OR,llm,213,118,14.75,0.038616668432950974
OR,llm,213,119,14.875,0.031080501154065132
OR,llm,213,120,15.0,-0.06466948986053467
OR,llm,213,121,15.125,-0.061857983469963074
OR,llm,213,122,15.25,0.03823520988225937
OR,llm,213,123,15.375,0.04171932861208916
OR,llm,213,124,15.5,-0.004512592684477568
OR,llm,213,125,15.625,0.028626425191760063
OR,llm,213,126,15.75,0.06071038544178009
OR,llm,213,127,15.875,-0.045524924993515015
OR,llm,213,128,16.0,-0.038914479315280914
OR,llm,213,129,16.125,0.016503185033798218
OR,llm,213,130,16.25,-0.013207129202783108
OR,llm,213,131,16.375,-0.01484616007655859
OR,llm,213,132,16.5,0.07893221080303192
OR,llm,213,133,16.625,-0.017153915017843246
OR,llm,213,134,16.75,0.006695470307022333
OR,llm,213,135,16.875,-0.013556486926972866
OR,llm,213,136,17.0,-0.026304855942726135
OR,llm,213,137,17.125,-0.006752015091478825
OR,llm,213,138,17.25,0.005738000385463238
OR,llm,213,139,17.375,-0.0035054837353527546
OR,llm,213,140,17.5,0.004470729734748602
OR,llm,213,141,17.625,0.016299962997436523
OR,llm,213,142,17.75,-0.002008049748837948
OR,llm,213,143,17.875,-0.022757040336728096
OR,llm,213,144,18.0,-0.029570698738098145
OR,llm,213,145,18.125,0.05496514216065407
OR,llm,213,146,18.25,0.0207408107817173
OR,llm,213,147,18.375,-0.00971691682934761
OR,llm,213,148,18.5,-0.059857167303562164
OR,llm,213,149,18.625,0.07344389706850052
OR,llm,213,150,18.75,-0.07779473066329956
OR,llm,213,151,18.875,0.031987402588129044
OR,llm,213,152,19.0,-0.043459702283144
OR,llm,213,153,19.125,0.11178518831729889
OR,llm,213,154,19.25,-0.07497243583202362
OR,llm,213,155,19.375,-0.012341748923063278
OR,llm,213,156,19.5,0.007964045740664005
OR,llm,213,157,19.625,0.044656045734882355
OR,llm,213,158,19.75,-0.08060474693775177
OR,llm,213,159,19.875,0.023061448708176613
OR,llm,213,160,20.0,-0.01151395682245493
OR,llm,213,161,20.125,0.03992500156164169
OR,llm,213,162,20.25,-0.030509963631629944
OR,llm,213,163,20.375,-0.015781281515955925
OR,llm,213,164,20.5,-0.03772063925862312
OR,llm,213,165,20.625,0.0035999086685478687
OR,llm,213,166,20.75,0.06069029122591019
OR,llm,213,167,20.875,-0.018604133278131485
OR,llm,213,168,21.0,-0.011763724498450756
OR,llm,213,169,21.125,-0.021362747997045517
OR,llm,213,170,21.25,0.0333334282040596
OR,llm,213,171,21.375,-0.011992366053164005
OR,llm,213,172,21.5,0.0457223579287529
OR,llm,213,173,21.625,-0.07767106592655182
OR,llm,213,174,21.75,0.10668067634105682
OR,llm,213,175,21.875,-0.0614750050008297
OR,llm,213,176,22.0,-0.02335750311613083
OR,llm,213,177,22.125,0.05110001564025879
OR,llm,213,178,22.25,0.022032203152775764
OR,llm,213,179,22.375,-0.015076818875968456
OR,llm,213,180,22.5,-0.09148919582366943
OR,llm,213,181,22.625,0.08765857666730881
OR,llm,213,182,22.75,0.037094250321388245
OR,llm,213,183,22.875,-0.0008898115484043956
OR,llm,213,184,23.0,-0.0012393464567139745
OR,llm,213,185,23.125,-0.04659854620695114
OR,llm,213,186,23.25,-0.002798158209770918
OR,llm,213,187,23.375,0.003408884396776557
OR,llm,213,188,23.5,0.05443945527076721
OR,llm,213,189,23.625,0.06195865198969841
OR,llm,213,190,23.75,-0.06253058463335037
OR,llm,213,191,23.875,-0.03120403178036213
OR,llm,213,192,24.0,-0.0012437209952622652
OR,llm,213,193,24.125,0.036260299384593964
OR,llm,213,194,24.25,-0.0009380762930959463
OR,llm,213,195,24.375,-0.03270663321018219
OR,llm,213,196,24.5,0.014774218201637268
OR,llm,213,197,24.625,-0.04953880235552788
OR,llm,213,198,24.75,0.0822845995426178
